,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
3415,BAND,2019,Bandelier NM,"200,741",,"$12,746,000.00",,182,"$5,294,000.00","$9,182,000.00","$16,384,000.00"
3416,BEPA,2019,Belmont-Paul Women's Equality NM,"9,912",,"$191,000.00",,2,"$104,000.00","$176,000.00","$276,000.00"
3417,BEOL,2019,Bent's Old Fort NHS,"21,674",,"$1,289,000.00",,18,"$520,000.00","$911,000.00","$1,587,000.00"
3418,BELA,2019,Bering Land Bridge NPRES,"2,642",,"$4,041,000.00",,50,"$1,896,000.00","$3,550,000.00","$5,749,000.00"
3419,BIBE,2019,Big Bend NP,"463,833",,"$41,295,000.00",,601,"$13,546,000.00","$24,853,000.00","$46,648,000.00"
3420,BICY,2019,Big Cypress NPRES,"1,007,471",,"$81,506,000.00",,"1,080","$40,906,000.00","$71,777,000.00","$117,080,000.00"
3421,BIHO,2019,Big Hole NB,"45,861",,"$3,264,000.00",,43,"$1,190,000.00","$1,814,000.00","$3,373,000.00"
3422,BISO,2019,Big South Fork NRRA,"750,494",,"$23,592,000.00",,286,"$8,686,000.00","$14,642,000.00","$25,547,000.00"
3423,BITH,2019,Big Thicket NPRES,"255,925",,"$16,698,000.00",,211,"$7,896,000.00","$13,596,000.00","$21,952,000.00"
3424,BICA,2019,Bighorn Canyon NRA,"249,658",,"$11,106,000.00",,157,"$4,542,000.00","$7,316,000.00","$13,387,000.00"
3425,BISC,2019,Biscayne NP,"708,522",,"$46,249,000.00",,606,"$22,947,000.00","$39,769,000.00","$64,758,000.00"
3426,BLCA,2019,Black Canyon of the Gunnison NP,"432,818",,"$27,599,000.00",,344,"$11,743,000.00","$20,556,000.00","$33,976,000.00"
3427,BLRI,2019,Blue Ridge PKWY,"14,976,084",,"$1,125,413,000.00",,"16,341","$442,244,000.00","$754,647,000.00","$1,369,146,000.00"
3428,BLUE,2019,Bluestone NSR,"37,663",,"$1,683,000.00",,23,"$648,000.00","$1,095,000.00","$1,945,000.00"
3429,BOWA,2019,Booker T. Washington NM,"24,639",,"$1,466,000.00",,23,"$620,000.00","$1,059,000.00","$1,911,000.00"
3430,BOAF,2019,Boston African American NHS,"419,585",,"$24,956,000.00",,327,"$13,877,000.00","$22,772,000.00","$35,737,000.00"
3431,BOST,2019,Boston NHP,"3,201,833",,"$190,442,000.00",,"2,495","$105,922,000.00","$173,790,000.00","$272,675,000.00"
3432,BRVB,2019,Brown v. Board of Education NHS,"21,413",,"$1,274,000.00",,21,"$660,000.00","$1,108,000.00","$1,945,000.00"
3433,BRCA,2019,Bryce Canyon NP,"2,594,904",,"$222,115,000.00",,"3,206","$83,420,000.00","$147,909,000.00","$268,899,000.00"
3434,BUIS,2019,Buck Island Reef NM,"37,086",,"$2,341,000.00",,25,"$1,046,000.00","$1,907,000.00","$2,931,000.00"
3435,BUFF,2019,Buffalo NR,"1,326,283",,"$59,181,000.00",,857,"$21,058,000.00","$36,695,000.00","$67,794,000.00"
3436,CABR,2019,Cabrillo NM,"761,485",,"$45,292,000.00",,595,"$23,576,000.00","$38,863,000.00","$61,545,000.00"
3437,CANA,2019,Canaveral NS,"1,884,122",,"$71,561,000.00",,937,"$32,434,000.00","$57,264,000.00","$95,095,000.00"
3438,CARI,2019,Cane River Creole NHP,"29,922",,"$1,780,000.00",,25,"$677,000.00","$1,237,000.00","$2,186,000.00"
3439,CACH,2019,Canyon De Chelly NM,"460,757",,"$31,146,000.00",,444,"$10,262,000.00","$18,858,000.00","$36,405,000.00"
3440,CANY,2019,Canyonlands NP,"733,995",,"$45,909,000.00",,647,"$17,170,000.00","$30,020,000.00","$54,806,000.00"
3441,CACO,2019,Cape Cod NS,"4,096,103",,"$520,440,000.00",,"6,399","$239,073,000.00","$415,535,000.00","$672,015,000.00"
3442,CAHA,2019,Cape Hatteras NS,"2,606,631",,"$168,360,000.00",,"2,422","$66,950,000.00","$118,132,000.00","$211,088,000.00"
3443,CAKR,2019,Cape Krusenstern NM,"16,226",,"$24,805,000.00",,305,"$11,642,000.00","$21,792,000.00","$35,294,000.00"
3444,CALO,2019,Cape Lookout NS,"455,527",,"$20,292,000.00",,282,"$6,937,000.00","$11,570,000.00","$21,724,000.00"
3445,CARE,2019,Capitol Reef NP,"1,226,519",,"$89,789,000.00",,"1,185","$31,281,000.00","$55,996,000.00","$101,742,000.00"
3446,CAVO,2019,Capulin Volcano NM,"81,617",,"$2,504,000.00",,35,"$796,000.00","$1,343,000.00","$2,524,000.00"
3447,CARL,2019,Carl Sandburg Home NHS,"78,145",,"$4,648,000.00",,68,"$1,976,000.00","$3,340,000.00","$5,848,000.00"
3448,CAVE,2019,Carlsbad Caverns NP,"440,691",,"$28,806,000.00",,385,"$10,485,000.00","$17,735,000.00","$32,428,000.00"
3449,CAWO,2019,Carter G. Woodson Home NHS,"2,380",,"$46,000.00",,1,"$25,000.00","$42,000.00","$66,000.00"
3450,CAGR,2019,Casa Grande Ruins NM,"68,380",,"$4,067,000.00",,59,"$2,116,000.00","$3,632,000.00","$6,059,000.00"
3451,CASA,2019,Castillo De San Marcos NM,"673,395",,"$40,053,000.00",,607,"$18,025,000.00","$31,298,000.00","$54,561,000.00"
3452,CACL,2019,Castle Clinton NM,"4,361,034",,"$110,133,000.00",,"1,110","$51,951,000.00","$85,654,000.00","$128,641,000.00"
3453,CATO,2019,Catoctin Mountain Park,"296,845",,"$18,851,000.00",,239,"$9,882,000.00","$16,440,000.00","$25,901,000.00"
3454,CEBR,2019,Cedar Breaks NM,"579,860",,"$37,822,000.00",,524,"$13,656,000.00","$24,147,000.00","$43,832,000.00"
3455,CECH,2019,Cesar E. Chavez NM,"16,489",,"$981,000.00",,13,"$528,000.00","$856,000.00","$1,358,000.00"
3456,CHCU,2019,Chaco Culture NHP,"47,342",,"$2,741,000.00",,40,"$1,100,000.00","$1,912,000.00","$3,447,000.00"
3457,CHAM,2019,Chamizal NMEM,"38,228",,"$2,274,000.00",,34,"$908,000.00","$1,545,000.00","$2,856,000.00"
3458,CHIS,2019,Channel Islands NP,"409,630",,"$25,285,000.00",,314,"$13,835,000.00","$22,621,000.00","$35,685,000.00"
3459,CHPI,2019,Charles Pinckney NHS,"35,495",,"$2,111,000.00",,28,"$919,000.00","$1,607,000.00","$2,662,000.00"
3460,CHYO,2019,Charles Young Buffalo Soldiers NM,"14,105",,"$839,000.00",,13,"$375,000.00","$627,000.00","$1,111,000.00"
3461,CHAT,2019,Chattahoochee River NRA,"3,393,134",,"$151,634,000.00",,"2,164","$74,757,000.00","$126,388,000.00","$213,122,000.00"
3462,CHOH,2019,Chesapeake & Ohio Canal NHP,"5,116,787",,"$98,442,000.00",,"1,326","$52,901,000.00","$89,474,000.00","$142,768,000.00"
3463,CHCH,2019,Chickamauga & Chattanooga NMP,"977,157",,"$58,100,000.00",,870,"$23,225,000.00","$39,632,000.00","$72,150,000.00"
3464,CHIC,2019,Chickasaw NRA,"1,422,612",,"$23,444,000.00",,232,"$6,115,000.00","$9,955,000.00","$18,348,000.00"
3465,CHIR,2019,Chiricahua NM,"60,655",,"$3,669,000.00",,52,"$1,115,000.00","$2,010,000.00","$3,896,000.00"
3466,CHRI,2019,Christiansted NHS,"103,594",,"$6,162,000.00",,69,"$2,863,000.00","$5,122,000.00","$7,923,000.00"
3467,CIRO,2019,City Of Rocks NRES,"99,311",,"$5,907,000.00",,86,"$2,214,000.00","$3,744,000.00","$6,829,000.00"
3468,CLBA,2019,Clara Barton NHS,"4,100",,"$244,000.00",,3,"$131,000.00","$217,000.00","$341,000.00"
3469,COLO,2019,Colonial NHP,"3,327,269",,"$337,484,000.00",,"5,104","$127,744,000.00","$237,125,000.00","$423,579,000.00"
3470,COLM,2019,Colorado NM,"397,032",,"$25,182,000.00",,352,"$9,700,000.00","$17,109,000.00","$30,731,000.00"
3471,CONG,2019,Congaree NP,"159,445",,"$8,173,000.00",,102,"$3,143,000.00","$5,606,000.00","$9,643,000.00"
3472,CORO,2019,Coronado NMEM,"130,328",,"$7,752,000.00",,118,"$3,067,000.00","$5,491,000.00","$9,849,000.00"
3473,COWP,2019,Cowpens NB,"223,413",,"$14,606,000.00",,207,"$7,074,000.00","$11,897,000.00","$20,162,000.00"
3474,CRLA,2019,Crater Lake NP,"704,511",,"$61,780,000.00",,892,"$29,210,000.00","$48,118,000.00","$82,859,000.00"
3475,CRMO,2019,Craters of the Moon NM & PRES,"272,224",,"$9,579,000.00",,136,"$3,418,000.00","$5,787,000.00","$10,979,000.00"
3476,CUGA,2019,Cumberland Gap NHP,"704,599",,"$45,700,000.00",,623,"$19,500,000.00","$33,534,000.00","$58,458,000.00"
3477,CUIS,2019,Cumberland Island NS,"53,905",,"$2,275,000.00",,32,"$989,000.00","$1,642,000.00","$2,816,000.00"
3478,CURE,2019,Curecanti NRA,"836,034",,"$37,014,000.00",,452,"$14,618,000.00","$25,175,000.00","$41,922,000.00"
3479,CUVA,2019,Cuyahoga Valley NP,"2,237,997",,"$39,503,000.00",,579,"$19,865,000.00","$33,169,000.00","$57,220,000.00"
3480,DAAV,2019,Dayton Aviation Heritage NHP,"94,708",,"$5,679,000.00",,92,"$3,076,000.00","$5,180,000.00","$8,865,000.00"
3481,DESO,2019,De Soto NMEM,"187,880",,"$11,175,000.00",,167,"$5,493,000.00","$9,494,000.00","$16,119,000.00"
3482,DEVA,2019,Death Valley NP,"1,740,945",,"$147,122,000.00",,"1,811","$70,634,000.00","$119,244,000.00","$190,145,000.00"
3483,DEWA,2019,Delaware Water Gap NRA,"3,374,865",,"$118,076,000.00",,"1,621","$67,406,000.00","$112,257,000.00","$173,694,000.00"
3484,DENA,2019,Denali NP & PRES,"601,152",,"$612,770,000.00",,"7,490","$287,751,000.00","$541,354,000.00","$874,209,000.00"
3485,DEPO,2019,Devils Postpile NM,"147,864",,"$9,667,000.00",,120,"$4,090,000.00","$6,776,000.00","$11,333,000.00"
3486,DETO,2019,Devils Tower NM,"450,786",,"$29,189,000.00",,402,"$11,895,000.00","$20,593,000.00","$37,193,000.00"
3487,DINO,2019,Dinosaur NM,"298,965",,"$18,044,000.00",,220,"$6,868,000.00","$11,855,000.00","$20,066,000.00"
3488,DRTO,2019,Dry Tortugas NP,"79,200",,"$4,836,000.00",,55,"$1,953,000.00","$3,370,000.00","$5,448,000.00"
3489,EDAL,2019,Edgar Allan Poe NHS,"15,528",,"$924,000.00",,13,"$526,000.00","$852,000.00","$1,371,000.00"
3490,EFMO,2019,Effigy Mounds NM,"65,582",,"$4,258,000.00",,68,"$1,689,000.00","$2,894,000.00","$5,313,000.00"
3491,EISE,2019,Eisenhower NHS,"47,277",,"$2,812,000.00",,37,"$1,504,000.00","$2,474,000.00","$3,906,000.00"
3492,ELMA,2019,El Malpais NM,"158,924",,"$9,453,000.00",,147,"$3,942,000.00","$6,814,000.00","$12,434,000.00"
3493,ELMO,2019,El Morro NM,"68,868",,"$4,409,000.00",,63,"$1,242,000.00","$2,305,000.00","$4,602,000.00"
3494,ELRO,2019,Eleanor Roosevelt NHS,"47,631",,"$2,833,000.00",,34,"$1,437,000.00","$2,426,000.00","$3,737,000.00"
3495,EUON,2019,Eugene O'Neill NHS,"2,945",,"$175,000.00",,2,"$100,000.00","$159,000.00","$241,000.00"
3496,EVER,2019,Everglades NP,"1,118,300",,"$110,371,000.00",,"1,508","$57,472,000.00","$101,388,000.00","$164,874,000.00"
3497,FEHA,2019,Federal Hall NMEM,"264,849",,"$15,753,000.00",,184,"$8,708,000.00","$14,704,000.00","$21,916,000.00"
3498,FIIS,2019,Fire Island NS,"391,311",,"$17,377,000.00",,186,"$8,784,000.00","$14,818,000.00","$22,023,000.00"
3499,FILA,2019,First Ladies NHS,"10,913",,"$649,000.00",,10,"$334,000.00","$555,000.00","$960,000.00"
3500,FLNI,2019,Flight 93 NMEM,"411,225",,"$24,459,000.00",,384,"$12,196,000.00","$19,789,000.00","$34,383,000.00"
3501,FLFO,2019,Florissant Fossil Beds NM,"77,339",,"$4,600,000.00",,64,"$2,396,000.00","$4,105,000.00","$6,718,000.00"
3502,FOTH,2019,Ford's Theatre NHS,"572,373",,"$11,031,000.00",,143,"$6,004,000.00","$10,160,000.00","$15,901,000.00"
3503,FOBO,2019,Fort Bowie NHS,"7,577",,"$451,000.00",,7,"$176,000.00","$315,000.00","$565,000.00"
3504,FOCA,2019,Fort Caroline NMEM,"187,657",,"$11,162,000.00",,169,"$5,288,000.00","$9,119,000.00","$15,733,000.00"
3505,FODA,2019,Fort Davis NHS,"51,995",,"$3,093,000.00",,43,"$1,037,000.00","$1,841,000.00","$3,340,000.00"
3506,FODO,2019,Fort Donelson NB,"254,431",,"$16,634,000.00",,203,"$7,868,000.00","$13,189,000.00","$21,298,000.00"
3507,FOFR,2019,Fort Frederica NM,"212,330",,"$12,629,000.00",,185,"$5,740,000.00","$9,771,000.00","$16,775,000.00"
3508,FOLA,2019,Fort Laramie NHS,"42,893",,"$2,551,000.00",,37,"$912,000.00","$1,642,000.00","$3,016,000.00"
3509,FOLS,2019,Fort Larned NHS,"26,958",,"$1,659,000.00",,24,"$542,000.00","$956,000.00","$1,865,000.00"
3510,FOMA,2019,Fort Matanzas NM,"593,787",,"$35,318,000.00",,536,"$16,026,000.00","$27,843,000.00","$48,467,000.00"
3511,FOMC,2019,Fort McHenry NM & HS,"419,545",,"$24,954,000.00",,331,"$13,372,000.00","$22,319,000.00","$35,150,000.00"
3512,FONE,2019,Fort Necessity NB,"312,104",,"$18,557,000.00",,293,"$9,557,000.00","$15,588,000.00","$26,958,000.00"
3513,FOPO,2019,Fort Point NHS,"1,421,349",,"$84,541,000.00",,991,"$48,363,000.00","$76,652,000.00","$116,298,000.00"
3514,FOPU,2019,Fort Pulaski NM,"374,289",,"$24,470,000.00",,318,"$10,241,000.00","$18,077,000.00","$30,212,000.00"
3515,FORA,2019,Fort Raleigh NHS,"248,139",,"$14,759,000.00",,221,"$6,106,000.00","$10,600,000.00","$18,845,000.00"
3516,FOSC,2019,Fort Scott NHS,"24,069",,"$438,000.00",,6,"$136,000.00","$222,000.00","$438,000.00"
3517,FOSM,2019,Fort Smith NHS,"125,500",,"$7,464,000.00",,118,"$2,687,000.00","$4,899,000.00","$9,251,000.00"
3518,FOST,2019,Fort Stanwix NM,"97,412",,"$5,462,000.00",,71,"$2,028,000.00","$4,016,000.00","$6,639,000.00"
3519,FOSU,2019,Fort Sumter and Fort Moultrie NHP,"877,894",,"$52,216,000.00",,702,"$22,713,000.00","$39,739,000.00","$65,933,000.00"
3520,FOUN,2019,Fort Union NM,"11,063",,"$760,000.00",,10,"$291,000.00","$487,000.00","$852,000.00"
3521,FOUS,2019,Fort Union Trading Post NHS,"12,967",,"$1,057,000.00",,12,"$391,000.00","$615,000.00","$1,037,000.00"
3522,FOVA,2019,Fort Vancouver NHS,"1,018,215",,"$60,562,000.00",,871,"$31,388,000.00","$52,409,000.00","$87,371,000.00"
3523,FOWA,2019,Fort Washington Park,"423,868",,"$25,211,000.00",,322,"$13,440,000.00","$22,396,000.00","$34,877,000.00"
3524,FOBU,2019,Fossil Butte NM,"20,554",,"$1,042,000.00",,13,"$381,000.00","$642,000.00","$1,118,000.00"
3525,FRDE,2019,Franklin Delano Roosevelt MEM,"3,303,573",,"$63,668,000.00",,826,"$34,653,000.00","$58,643,000.00","$91,777,000.00"
3526,FRDO,2019,Frederick Douglass NHS,"61,063",,"$1,177,000.00",,15,"$640,000.00","$1,083,000.00","$1,692,000.00"
3527,FRLA,2019,Frederick Law Olmsted NHS,"7,791",,"$463,000.00",,6,"$257,000.00","$421,000.00","$663,000.00"
3528,FRSP,2019,Fredericksburg & Spotsylvania NMP,"906,800",,"$53,936,000.00",,690,"$28,104,000.00","$46,649,000.00","$73,124,000.00"
3529,FRHI,2019,Friendship Hill NHS,"34,160",,"$2,032,000.00",,32,"$1,036,000.00","$1,694,000.00","$2,928,000.00"
3530,GAAR,2019,Gates Of The Arctic NP & PRES,"10,518",,"$16,078,000.00",,198,"$7,546,000.00","$14,125,000.00","$22,877,000.00"
3531,GATE,2019,Gateway NRA,"9,405,622",,"$254,946,000.00",,"3,014","$100,911,000.00","$178,701,000.00","$287,540,000.00"
3532,GARI,2019,Gauley River NRA,"119,282",,"$5,302,000.00",,73,"$2,027,000.00","$3,396,000.00","$5,988,000.00"
3533,GEGR,2019,General Grant NMEM,"113,852",,"$6,772,000.00",,79,"$3,744,000.00","$6,326,000.00","$9,435,000.00"
3534,GERO,2019,George Rogers Clark NHP,"140,130",,"$8,335,000.00",,125,"$3,136,000.00","$5,523,000.00","$10,144,000.00"
3535,GEWA,2019,George Washington Birthplace NM,"139,666",,"$6,491,000.00",,81,"$3,328,000.00","$5,469,000.00","$8,518,000.00"
3536,GWCA,2019,George Washington Carver NM,"49,553",,"$929,000.00",,13,"$346,000.00","$571,000.00","$1,054,000.00"
3537,GWMP,2019,George Washington MEM PKWY,"7,487,265",,"$50,125,000.00",,799,"$27,906,000.00","$44,782,000.00","$73,359,000.00"
3538,GETT,2019,Gettysburg NMP,"925,116",,"$60,310,000.00",,761,"$31,504,000.00","$52,386,000.00","$82,593,000.00"
3539,GICL,2019,Gila Cliff Dwellings NM,"66,615",,"$3,962,000.00",,60,"$1,112,000.00","$2,018,000.00","$4,058,000.00"
3540,GLBA,2019,Glacier Bay NP & PRES,"672,087",,"$246,447,000.00",,"2,929","$121,238,000.00","$213,514,000.00","$402,334,000.00"
3541,GLAC,2019,Glacier NP,"3,049,840",,"$356,112,000.00",,"5,395","$169,133,000.00","$278,790,000.00","$501,198,000.00"
3542,GLCA,2019,Glen Canyon NRA,"4,330,562",,"$420,177,000.00",,"5,153","$163,428,000.00","$285,807,000.00","$494,897,000.00"
3543,GOGA,2019,Golden Gate NRA,"15,002,227",,"$1,038,146,000.00",,"10,606","$611,241,000.00","$979,482,000.00","$1,395,685,000.00"
3544,GREE,2019,Greenbelt Park,"108,153",,"$6,278,000.00",,95,"$2,957,000.00","$4,994,000.00","$8,840,000.00"
3545,GOIS,2019,Governors Island NM,"590,993",,"$35,152,000.00",,410,"$19,432,000.00","$32,812,000.00","$48,904,000.00"
3546,GRCA,2019,Grand Canyon NP,"5,974,410",,"$891,243,000.00",,"11,806","$354,979,000.00","$634,575,000.00","$1,089,195,000.00"
3547,GRPO,2019,Grand Portage NM,"94,985",,"$6,208,000.00",,78,"$1,805,000.00","$3,358,000.00","$6,095,000.00"
3548,GRTE,2019,Grand Teton NP,"3,405,614",,"$629,536,000.00",,"8,638","$274,619,000.00","$463,007,000.00","$795,638,000.00"
3549,GRKO,2019,Grant-Kohrs Ranch NHS,"25,044",,"$1,490,000.00",,23,"$687,000.00","$1,065,000.00","$1,949,000.00"
3550,GRBA,2019,Great Basin NP,"131,802",,"$7,767,000.00",,108,"$2,393,000.00","$4,183,000.00","$8,018,000.00"
3551,GRSA,2019,Great Sand Dunes NP & PRES,"527,546",,"$33,090,000.00",,449,"$13,028,000.00","$22,828,000.00","$40,140,000.00"
3552,GRSM,2019,Great Smoky Mountains NP,"12,547,743",,"$1,054,815,000.00",,"15,176","$482,218,000.00","$824,057,000.00","$1,427,790,000.00"
3553,GREE,2019,Greenbelt Park,"128,702",,"$8,146,000.00",,101,"$4,247,000.00","$7,123,000.00","$11,104,000.00"
3554,GUMO,2019,Guadalupe Mountains NP,"188,833",,"$11,880,000.00",,166,"$4,478,000.00","$7,807,000.00","$14,306,000.00"
3555,GUCO,2019,Guilford Courthouse NMP,"223,901",,"$13,317,000.00",,208,"$6,398,000.00","$10,640,000.00","$18,624,000.00"
3556,GUIS,2019,Gulf Islands NS,"5,600,241",,"$249,304,000.00",,"3,305","$105,295,000.00","$181,992,000.00","$310,006,000.00"
3557,HAFO,2019,Hagerman Fossil Beds NM,"23,768",,"$1,414,000.00",,21,"$649,000.00","$1,076,000.00","$1,904,000.00"
3558,HALE,2019,Haleakala NP,"994,393",,"$64,738,000.00",,684,"$29,104,000.00","$53,202,000.00","$81,590,000.00"
3559,HAGR,2019,Hamilton Grange NMEM,"71,248",,"$4,238,000.00",,49,"$2,335,000.00","$3,948,000.00","$5,876,000.00"
3560,HAMP,2019,Hampton NHS,"28,233",,"$1,679,000.00",,22,"$909,000.00","$1,511,000.00","$2,383,000.00"
3561,HAFE,2019,Harpers Ferry NHP,"299,576",,"$15,004,000.00",,213,"$8,584,000.00","$14,166,000.00","$22,307,000.00"
3562,HSTR,2019,Harry S Truman NHS,"30,745",,"$1,829,000.00",,30,"$959,000.00","$1,602,000.00","$2,816,000.00"
3563,HAVO,2019,Hawaii Volcanoes NP,"1,368,375",,"$116,455,000.00",,"1,279","$53,795,000.00","$99,886,000.00","$153,036,000.00"
3564,HEHO,2019,Herbert Hoover NHS,"125,687",,"$7,476,000.00",,115,"$3,093,000.00","$5,368,000.00","$9,663,000.00"
3565,HOFR,2019,Home of Franklin D. Roosevelt NHS,"147,109",,"$8,750,000.00",,106,"$4,485,000.00","$7,540,000.00","$11,631,000.00"
3566,HOME,2019,Homestead NHP,"61,635",,"$2,072,000.00",,31,"$737,000.00","$1,253,000.00","$2,348,000.00"
3567,HOCU,2019,Hopewell Culture NHP,"60,337",,"$3,589,000.00",,55,"$1,794,000.00","$3,011,000.00","$5,165,000.00"
3568,HOFU,2019,Hopewell Furnace NHS,"49,861",,"$2,966,000.00",,45,"$1,668,000.00","$2,694,000.00","$4,442,000.00"
3569,HOBE,2019,Horseshoe Bend NMP,"45,372",,"$2,699,000.00",,42,"$1,160,000.00","$1,996,000.00","$3,600,000.00"
3570,HOSP,2019,Hot Springs NP,"1,467,153",,"$95,358,000.00",,"1,420","$36,590,000.00","$68,395,000.00","$124,191,000.00"
3571,HOVE,2019,Hovenweep NM,"35,399",,"$2,267,000.00",,31,"$815,000.00","$1,479,000.00","$2,715,000.00"
3572,HUTR,2019,Hubbell Trading Post NHS,"50,285",,"$2,991,000.00",,45,"$997,000.00","$1,803,000.00","$3,497,000.00"
3573,INDE,2019,Independence NHP,"4,532,460",,"$269,587,000.00",,"3,846","$153,404,000.00","$248,633,000.00","$400,300,000.00"
3574,INDU,2019,Indiana Dunes NP,"2,134,285",,"$95,259,000.00",,"1,143","$49,230,000.00","$83,336,000.00","$129,794,000.00"
3575,ISRO,2019,Isle Royale NP,"26,410",,"$6,188,000.00",,92,"$1,990,000.00","$3,780,000.00","$7,132,000.00"
3576,JAGA,2019,James A. Garfield NHS,"41,304",,"$1,508,000.00",,24,"$758,000.00","$1,266,000.00","$2,224,000.00"
3577,JELA,2019,Jean Lafitte NHP & PRES,"590,330",,"$35,112,000.00",,503,"$15,535,000.00","$27,451,000.00","$46,743,000.00"
3578,,2019,"Jefferson National Expansion
Memorial","2,055,309",,"$208,188,000.00",,"3,494","$111,542,000.00","$186,496,000.00","$328,387,000.00"
3579,JECA,2019,Jewel Cave NM,"123,489",,"$7,345,000.00",,107,"$3,046,000.00","$5,131,000.00","$9,390,000.00"
3580,JICA,2019,Jimmy Carter NHP,"50,789",,"$3,021,000.00",,49,"$1,107,000.00","$1,942,000.00","$3,760,000.00"
3581,JODR,2019,"John D. Rockefeller, Jr. MEM PKWY","1,426,666",,"$8,220,000.00",,104,"$3,170,000.00","$5,560,000.00","$8,843,000.00"
3582,JODA,2019,John Day Fossil Beds NM,"197,091",,"$9,596,000.00",,127,"$3,900,000.00","$6,400,000.00","$11,159,000.00"
3583,JOFI,2019,John F. Kennedy NHS,"24,838",,"$1,477,000.00",,19,"$818,000.00","$1,343,000.00","$2,112,000.00"
3584,JOMU,2019,John Muir NHS,"40,725",,"$2,422,000.00",,28,"$1,386,000.00","$2,197,000.00","$3,335,000.00"
3585,JOFL,2019,Johnstown Flood NMEM,"183,143",,"$11,523,000.00",,188,"$5,942,000.00","$9,653,000.00","$16,875,000.00"
3586,JOTR,2019,Joshua Tree NP,"2,988,547",,"$149,952,000.00",,"1,864","$73,726,000.00","$125,566,000.00","$200,853,000.00"
3587,KALA,2019,Kalaupapa NHP,"69,400",,"$4,128,000.00",,46,"$1,918,000.00","$3,431,000.00","$5,308,000.00"
3588,KAHO,2019,Kaloko Honokohau NHP,"232,920",,"$13,854,000.00",,155,"$6,438,000.00","$11,515,000.00","$17,815,000.00"
3589,KATM,2019,Katmai NP & PRES,"84,167",,"$128,681,000.00",,"1,584","$60,394,000.00","$113,052,000.00","$183,096,000.00"
3590,KEFJ,2019,Kenai Fjords NP,"356,601",,"$65,496,000.00",,"1,118","$35,714,000.00","$54,627,000.00","$94,273,000.00"
3591,KEMO,2019,Kennesaw Mountain NBP,"2,621,049",,"$155,898,000.00",,"2,391","$82,857,000.00","$140,747,000.00","$236,464,000.00"
3592,KEWE,2019,Keweenaw NHP,"20,536",,"$1,221,000.00",,18,"$342,000.00","$665,000.00","$1,292,000.00"
3593,KICA,2019,Kings Canyon NP,"632,111",,"$56,084,000.00",,742,"$25,089,000.00","$41,226,000.00","$69,399,000.00"
3594,KIMO,2019,Kings Mountain NMP,"262,031",,"$10,669,000.00",,155,"$5,253,000.00","$8,607,000.00","$14,588,000.00"
3595,KLGO,2019,Klondike Gold Rush NHP Alaska,"1,116,161",,"$175,091,000.00",,"2,650","$92,236,000.00","$134,233,000.00","$219,758,000.00"
3596,KLSE,2019,Klondike Gold Rush NHP Seattle,"109,800",,"$6,531,000.00",,75,"$3,146,000.00","$5,683,000.00","$8,684,000.00"
3597,KNRI,2019,Knife River Indian Villages NHS,"10,354",,"$616,000.00",,9,"$276,000.00","$449,000.00","$814,000.00"
3598,KOVA,2019,Kobuk Valley NP,"15,766",,"$24,106,000.00",,297,"$11,314,000.00","$21,178,000.00","$34,300,000.00"
3599,KOWA,2019,Korean War Veterans Memorial,"3,841,633",,"$74,038,000.00",,960,"$40,298,000.00","$68,195,000.00","$106,726,000.00"
